ID,Date,Opponent,Is_Home_or_Away,Is_Opponent_in_AP25_Preseason,Media,Label
1,09/05/15,Texas,Home,Out,1-NBC,Win
2,09/12/15,Virginia,Away,Out,4-ABC,Win
3,09/19/15,GeorgiaTech,Home,In,1-NBC,Win
4,09/26/15,UMass,Home,Out,1-NBC,Win
5,10/03/15,Clemson,Away,In,4-ABC,Lose
6,10/10/15,Navy,Home,Out,1-NBC,Win
7,10/17/15,USC,Home,In,1-NBC,Win
8,10/31/15,Temple,Away,Out,4-ABC,Win
9,11/07/15,PITT,Away,Out,4-ABC,Win
10,11/14/15,WakeForest,Home,Out,1-NBC,Win
11,11/21/15,BostonCollege,Away,Out,1-NBC,Win
12,11/28/15,Stanford,Away,In,3-FOX,Lose
13,09/04/16,Texas,Away,Out,4-ABC,Lose
14,09/10/16,Nevada,Home,Out,1-NBC,Win
15,09/17/16,MichiganState,Home,Out,1-NBC,Lose
16,09/24/16,Duke,Home,Out,1-NBC,Lose
17,10/01/16,Syracuse,Home,Out,2-ESPN,Win
18,10/08/16,NorthCarolinaState,Away,Out,4-ABC,Lose
19,10/15/16,Stanford,Home,In,1-NBC,Lose
20,10/29/16,MiamiFlorida,Home,Out,1-NBC,Win
21,11/05/16,Navy,Home,Out,5-CBS,Lose
22,11/12/16,Army,Home,Out,1-NBC,Win
23,11/19/16,VirginiaTech,Home,In,1-NBC,Lose
24,11/26/16,USC,Away,In,4-ABC,Lose
25,09/02/17,Temple,Home,Out,1-NBC,Win
26,09/09/17,Georgia,Home,In,1-NBC,Lose
27,09/16/17,BostonCollege,Away,Out,2-ESPN,Win
28,09/23/17,MichiganState,Away,Out,3-FOX,Win
29,09/30/17,MiamiOhio,Home,Out,1-NBC,Win
30,10/07/17,NorthCarolina,Away,Out,4-ABC,Win
31,10/21/17,USC,Home,In,1-NBC,Win
32,10/28/17,NorthCarolinaState,Home,Out,1-NBC,Win
33,11/04/17,WakeForest,Home,Out,1-NBC,Win
34,11/11/17,MiamiFlorida,Away,In,4-ABC,Lose
35,11/18/17,Navy,Home,Out,1-NBC,Win
36,11/25/17,Stanford,Away,In,4-ABC,Lose
